Supplier_Number,Supplier_ID,DWR_ID,Supplier_Name,2023_Eto_inches,2023_Total_Precipitation_inches,2023_Effective_Precipitation_inches
312,SANDIEGUITOW312,2162,San Dieguito Water District,45.23,21.13,5.28
313,SANFERNANDOC313,2163,San Fernando City Of,54.01,32.04,8.01
314,SANFRANCISCO314,2164,San Francisco Public Utilities Commision,37.99,40.4,7.72
315,WDSANGABRIEL315,2165,San Gabriel Valley Municipal  Water District,51.77,33.11,8.28
316,WCSANGABRIEL316,2167,San Gabriel Valley Water Company,50.98,27.95,6.99
317,FONTANASANGA317,2166,San Gabriel Valley Water Company Fontana Division,56.79,26.13,6.53
318,SANJACINTOCI318,2169,San Jacinto City Of,60.3,18.57,4.64
319,SANJOSECITYO319,2174,San Jose City Of,42.79,26.95,6.74
320,SANJOSEWATER320,2175,San Jose Water Company,41.86,31.68,7.92
321,SANJUANCAPIS321,2177,San Juan Capistrano City Of,44.28,24.78,6.19
322,SANJUANWATER322,2179,San Juan Water District,55.4,32.89,8.22
323,SANLORENZOVA323,2180,San Lorenzo Valley Water District,36.47,78.57,9.49
324,SANLUISOBISP324,2182,San. Luis Obispo City Of,44.68,42.59,9.15
325,SANGERCITYOF325,2184,Sanger City Of,55.7,21.33,5.33
326,SANTAANACITY326,2207,Santa Ana  City of,46.14,22.75,5.69
327,SANTABARBARA327,2209,Santa Barbara City Of,43.77,41.49,8.11
328,SANTACLARACI328,2210,Santa Clara City Of,41.79,25.19,6.3
329,SANTACRUZCIT329,2213,Santa Cruz City Of,37.31,59.08,9.44
330,SANTAFEIRRIG330,2214,Santa Fe Irrigation District,46.77,21.92,5.48
331,SANTAFESPRIN331,2215,Santa Fe Springs City Of,48.59,24.61,6.15
332,SANTAMARGARI332,2217,Santa Margarita Water District,46.03,26.55,6.64
333,SANTAMARIACI333,2218,Santa Maria City Of,42.8,31.14,7.54
334,SANTAMONICAC334,2220,Santa Monica City Of,48.13,31.21,7.8
335,SANTAPAULACI335,2222,Santa Paula City Of,49.6,35.49,8.41
336,SANTAROSACIT336,2224,Santa Rosa City Of,43.45,45.63,8.95
337,SCOTTSVALLEY337,2237,Scotts Valley Water Oistrict,37.69,74.94,9.68
338,SEALBEACHCIT338,2241,Seal Beach City Of,45.16,21.65,5.41
339,SHAFTERCITYO339,2260,Shafter City Of,57.95,12.43,3.11
340,CITYOFSHASTA340,2273,Shasta Lake City Of,51.81,64.29,10.62
341,SIERRAMADREC341,2290,Sierra Madre City Of,52.19,45.13,9.58
342,SOLEDADCITYO342,2323,Soledad City Of,49.9,17.6,4.4
343,SONOMACITYOF343,2326,Sonoma City Of,44.95,37.91,8.21
344,SOQUELCREEKW344,2330,Sequel Creek Water District,38.82,54.33,9.4
345,SOUTHCOASTWA345,2334,South Coast Water District,43.45,24.68,6.17
346,SOUTHFEATHER346,2337,South Feather Water and Power,51.45,41.95,9.4
347,SOUTHGATECIT347,2341,South Gate City Of,48.13,26.5,6.62
348,SOUTHPASADEN348,2345,South Pasadena City Of,51.45,35.91,8.98
349,SOUTHTAHOEPU349,2348,South Tahoe Public Utility District,46.72,55.25,10.3
350,STOCKTONCITY350,2381,Stockton City Of,53.33,26.54,6.64
351,SANJOSEHILLS351,2401,Suburban Water Systems- San Jose Hills,51.72,27.96,6.99
352,LAMIRADASUBU352,2402,Suburban Water Systems - Whittier/La  Mirada,48.76,24.72,6.18
353,SOLANOIRRIGA353,2405,Suisun - Solano Water Authority,50.93,32.35,8.09
354,SUNNYSLOPEWA354,2419,Sunny Slope Water Company,52.24,33.75,8.44
355,SUNNYSLOPECO355,2424,Sunnyslope Community Water District,48.8,22.45,5.61
356,SUNNYVALECIT356,2425,Sunnyvale City Of,41.08,26.46,6.62
357,SUSANVILLE357,2432,Susanville City Of,43.83,23.75,5.94
358,SWEETWATERAU358,2437,Sweetwater Authority,47.03,16.86,4.21
359,TEHACHAPICIT359,2451,Tehachapi City Of,61.43,19,4.75
